Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
1562625_at,1.1300838028538869,0.3481891644576311,1111.6095839475518,1.1912630744726037e-234,-0.00992058185455076,0.8939665348236673
1553130_at,1.129953187840167,0.3482740919895671,2348.9890298188798,0.0,0.004167157624852527,0.9553527740784404
1554408_a_at,1.1293957788809488,0.3486366899940435,6978.263355046415,0.0,-0.0352864972851253,0.6353403528991204
205467_at,1.1291069097575728,0.3488247054718547,1431.1276419609612,1.0524392079291586e-303,0.0703746722466549,0.34381108430434054
205243_at,1.128959255364082,0.34892083639391097,1684.6181521650042,0.0,0.03690505272336132,0.6199011652828957
1554816_at,1.1289536849769808,0.34892446337853955,9749.384410136048,0.0,0.029474317054798676,0.6920495957421283
1552585_s_at,1.1289214620892052,0.34894544483110007,1840.8195624222333,0.0,0.07263828770076611,0.3284746320956989
1570388_a_at,1.1286104317391479,0.34914801314858973,1765.8907609506757,0.0,0.08854826046099976,0.23326371295786927
203772_at,1.1282942128853188,0.349354045254846,1147.8818486129117,1.743195111805097e-242,0.1340767801093457,0.07037213691725264
204855_at,1.1282650433683232,0.34937305492455745,2450.033359352116,0.0,0.02927133152693377,0.6940637603035702
203273_s_at,1.1281302657270054,0.349460898455409,4025.3299166846678,0.0,-0.09393118183454013,0.2059542018596717
1553118_at,1.1280069143840727,0.34954130829025365,3023.1770725389174,0.0,-0.09108250093166007,0.22010499466022077
1569777_a_at,1.1279547863525554,0.34957529322755443,964.7180466282995,6.148960502731566e-203,0.06639914043511089,0.3718238935560129
1552644_a_at,1.127831834494771,0.34965546103056167,771.7016999188365,2.5798423138487396e-161,0.14176961149659464,0.05557379562672781
1569818_at,1.1277354919191136,0.3497182879013937,2947.3182521518106,0.0,0.028551692563004213,0.7012217193141678
1552396_at,1.127598354622164,0.3498077314599255,915.4902335293746,2.5727108820442014e-192,0.18857173500978855,0.01057466223199412
206280_at,1.1273860845328072,0.34994620968677936,1123.4198160028504,3.351143923561859e-237,0.08234156259053305,0.267798624136636
1553983_at,1.1270364514642448,0.3501743829086069,1694.9136649658133,0.0,0.16083604056802892,0.02962853255706621
201378_s_at,1.1268610157337415,0.3502889128887455,5096.846574065227,0.0,-0.1951135991144827,0.00812453564119814
1569022_a_at,1.1268381797460694,0.350303822872464,1070.7060193348345,8.116101715611274e-226,0.004656999593801166,0.95011100288249
1557557_at,1.12676182405543,0.35035367996035394,1312.7228186869288,4.1795177196923845e-278,0.011779775342888125,0.8742460809858363
205239_at,1.1266380657715573,0.3504344995272761,288983.8426805384,0.0,-0.08912060812131531,0.23024457203449308
1556545_at,1.1258519451142355,0.35094817558481434,24385.328779644882,0.0,-0.017573825803058055,0.8133367998306359
1557542_at,1.125695394886383,0.3510505333501859,3300.9556013953274,0.0,0.025609563684252414,0.7307542777851707
205998_x_at,1.125600421275649,0.3511126404487098,3211.5884364109315,0.0,0.05702077226457916,0.443259144443727
1566228_at,1.1251280760559303,0.35142164035820145,1014.5468216453821,1.0816900538906449e-213,0.09967234106216473,0.1794505317628558
202684_s_at,1.1250633278330517,0.35146401232264074,1219.6820622274258,5.358487217772871e-258,0.02127458022379909,0.7749872570853834
1562505_at,1.1249879301623074,0.35151335790796645,1606.3873093393036,0.0,0.14213483383529332,0.054940648375647404
1560177_at,1.1245875416153912,0.3517754817502752,967.8120853647916,1.3216090077361955e-203,0.03409216120781251,0.6468351370834443
1569640_s_at,1.124500719740802,0.3518323397686861,1031.0605967068443,2.9456233511826583e-217,0.028612812171499462,0.7006127534604751
1561713_at,1.1244744339403885,0.35184955511336774,6200.482375608155,0.0,0.043827213932652036,0.5557913804258585
1557433_at,1.124448505695801,0.35186653686098035,2069.897298609368,0.0,-0.08907234366113057,0.23049809875534236
201062_at,1.124432616818654,0.35187694359098215,1454.7233935200748,8.31230086040602e-309,0.08675072349688384,0.24292638083617438
